serial,title,original_name,filename,location,type,affiliation,region_bucket,hiring_priority,website
1,Budge Budge College,Budge Budge College,budge-budge-college.md,"Budge Budge, Greater Kolkata / South 24 Parganas section, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.budgebudgecollege.org
2,Maheshtala College,Maheshtala College,maheshtala-college.md,"Maheshtala, Greater Kolkata / South 24 Parganas section, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.maheshtalacollege.ac.in
3,Bidhan Chandra College,Bidhan Chandra College,bidhan-chandra-college.md,"Hooghly, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
4,Mahitosh Nandi Mahavidyalaya,Mahitosh Nandi Mahavidyalaya,mahitosh-nandi-mahavidyalaya.md,"Hooghly, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
5,Nabagram Hiralal Paul College,Nabagram Hiralal Paul College,nabagram-hiralal-paul-college.md,"Hooghly, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
6,Raja Peary Mohan College,Raja Peary Mohan College,raja-peary-mohan-college.md,"Hooghly, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
7,Serampore College,Serampore College,serampore-college.md,"Hooghly, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
8,Serampore Girls' College,Serampore Girls' College,serampore-girls-college.md,"Hooghly, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
9,Swami Niswambalananda Girls' College,Swami Niswambalananda Girls' College,swami-niswambalananda-girls-college.md,"Hooghly, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
10,Vidyasagar Mahavidyalaya,Vidyasagar Mahavidyalaya,vidyasagar-mahavidyalaya.md,"Hooghly, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
11,Azad Hind Fouz Smriti Mahavidyalaya,Azad Hind Fouz Smriti Mahavidyalaya,azad-hind-fouz-smriti-mahavidyalaya.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
12,Bagnan College,Bagnan College,bagnan-college.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
13,Bijoy Krishna Girls' College,Bijoy Krishna Girls' College,bijoy-krishna-girls-college.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
14,Dr. Kanailal Bhattacharyya College,Dr. Kanailal Bhattacharyya College,dr-kanailal-bhattacharyya-college.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
15,Gangadharpur Mahavidyamandir,Gangadharpur Mahavidyamandir,gangadharpur-mahavidyamandir.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
16,George Group of Colleges,George Group of Colleges,george-group-of-colleges.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
17,Joypur Panchanan Roy College,Joypur Panchanan Roy College,joypur-panchanan-roy-college.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
18,Lalbaba College,Lalbaba College,lalbaba-college.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
19,Narasinha Dutt College,Narasinha Dutt College,narasinha-dutt-college.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
20,Panchla Mahavidyalaya,Panchla Mahavidyalaya,panchla-mahavidyalaya.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
21,Prabhu Jagatbandhu College,Prabhu Jagatbandhu College,prabhu-jagatbandhu-college.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
22,Purash Kanpur Haridas Nandi Mahavidyalaya,Purash Kanpur Haridas Nandi Mahavidyalaya,purash-kanpur-haridas-nandi-mahavidyalaya.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
23,Ramakrishna Mission Sikshanamandira,Ramakrishna Mission Sikshanamandira,ramakrishna-mission-sikshanamandira.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
24,Ramakrishna Mission Vidyamandira,Ramakrishna Mission Vidyamandira,ramakrishna-mission-vidyamandira.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
25,Ramsaday College,Ramsaday College,ramsaday-college.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
26,Shibpur Dinobundhoo Institution (College),Shibpur Dinobundhoo Institution (College),shibpur-dinobundhoo-institution-college.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
27,Shree Agrasain College (Self-Finance),Shree Agrasain College (Self-Finance),shree-agrasain-college-self-finance.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
28,Shyampur Siddheswari Mahavidyalaya,Shyampur Siddheswari Mahavidyalaya,shyampur-siddheswari-mahavidyalaya.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
29,Sovarani Memorial College,Sovarani Memorial College,sovarani-memorial-college.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
30,Sureswar Dutta Law College,Sureswar Dutta Law College (S.F),sureswar-dutta-law-college.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
31,Udaynarayanpur Madhabilata Mahavidyalaya,Udaynarayanpur Madhabilata Mahavidyalaya,udaynarayanpur-madhabilata-mahavidyalaya.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
32,Uluberia College,Uluberia College,uluberia-college.md,"Howrah, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
33,Bengal Music College,Bengal Music College,bengal-music-college.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
34,Don Bosco College,Don Bosco College,don-bosco-college.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
35,"Government College of Arts & Crafts, Calcutta","Government College of Arts & Crafts, Calcutta",government-college-of-arts-and-crafts-calcutta.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
36,"Government Girls General Degree College, Ekbalpur","Government Girls General Degree College, Ekbalpur",government-girls-general-degree-college-ekbalpur.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
37,Heritage Law College,Heritage Law College,heritage-law-college.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
38,Jogesh Chandra Chaudhuri Law College,Jogesh Chandra Chaudhuri Law College,jogesh-chandra-chaudhuri-law-college.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
39,Kanyashree College,Kanyashree College,kanyashree-college.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
40,Kolkata Police Law Institute (Self-Financed),Kolkata Police Law Institute (Self-Financed),kolkata-police-law-institute-self-financed.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
41,Loreto College,"Loreto College, Kolkata",loreto-college.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
42,Milli-AL-Ameen College (for Girls),Milli-AL-Ameen College (for Girls),milli-al-ameen-college-for-girls.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
43,Ramakrishna Mission Blind Boys' Academy,Ramakrishna Mission Blind Boys' Academy,ramakrishna-mission-blind-boys-academy.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
44,Seth Anandram Jaipuria College,Seth Anandram Jaipuria College,seth-anandram-jaipuria-college.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
45,Shyambazar Law College (Self-Financed),Shyambazar Law College (Self-Financed),shyambazar-law-college-self-financed.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
46,Sister Nibedita Government General Degree College for Girls,Sister Nibedita Government General Degree College for Girls,sister-nibedita-government-general-degree-college-for-girls.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
47,South Calcutta Law College,South Calcutta Law College,south-calcutta-law-college.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
48,St. Xavier's College (Autonomous),St. Xavier's College (Autonomous),st-xavier-s-college-autonomous.md,"Kolkata, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
